id	axis	agent	class	mechanism	genotype_fit	best_evidence	identifier	evidence_tier	stage_2026	cns_penetration	key_risk	verdict	notes
A01	A-restore	UGA suppressor tRNA (Leu), prime-editing-installed (PERT)	Genetic medicine	Prime editing converts a dispensable endogenous tRNA gene into a Leu-charged UGA suppressor tRNA; one-time, no overexpression	OPTIMAL - restores wild-type Leu737; UGA-specific; no readthrough at natural stops reported	Rescued Batten/Tay-Sachs/CF cell models; corrected pathology in Hurler mouse in vivo; screened all 418 human tRNA genes; no transcriptomic/proteomic perturbation	PMID 41261131; DOI 10.1038/s41586-025-09732-2 (Nature 648:191-202, 2025)	E4	Preclinical (published Nov 2025)	Delivery-dependent	Delivery to all affected tissues; permanence of edit; no human data	LEAD	Only route that restores the exact wild-type residue
A02	A-restore	AAV-delivered engineered UGA suppressor tRNA	Genetic medicine	rAAV-packaged engineered UGA suppressor tRNA gene; solves the UGA vector-production problem	STRONG - UGA-specific; amino acid choice tunable; AAV is systemic and CNS-capable	Single dose restored enzyme activity to ~10% of normal in two lysosomal storage mouse models	PMID 41555020; DOI 10.1038/s41587-025-02982-5 (Nat Biotechnol 2026)	E4	Preclinical	Yes (serotype-dependent)	AAV immunogenicity; redosing; durability	LEAD (alternate route)	Closest published match to this genotype
A03	A-restore	2,6-diaminopurine (DAP)	Small molecule TRID	Inhibits FTSJ1 -> loss of Cm34 in tRNA-Trp anticodon loop -> tRNA-Trp decodes UGA by A-C wobble; inserts Trp	STRONG - UGA-exclusive; inserts Trp giving p.Leu737Trp, hydrophobic->hydrophobic in an unstructured linker	One of four compounds (with clitocine, SRI-41315, TLN468) identified as jointly most effective in the 2026 TRID head-to-head; UGA-exclusive (rescued UGA TP53 in Calu-6, not UAG/UAA). ABSTRACT-LEVEL ONLY, full text not retrieved: oral 29 mg/kg mouse; BBB penetrant with slower brain clearance than other tissues; non-genotoxic in micronucleus +/- S9; ~10 months daily dosing in dams without overt toxicity	PMID 32198346 (Nat Commun 11:1509); PMID 36641622 (Mol Ther 31:970); PMID 41917975 (J Transl Med 2026)	E6	Preclinical; research chemical; no IND, no sponsor identified	Yes - demonstrated; preferential brain retention	FTSJ1 LoF causes X-linked intellectual disability (PMID 15342698); FTSJ1 depletion gives abnormal dendritic spines in human NPCs and memory deficits in Drosophila (PMID 36720500). Unevaluated neurodevelopmental risk in a child	BRIDGE - gated on juvenile neurodevelopmental tox study	Does NOT inhibit NMD - must be paired (see A08/A09)
A04	A-restore	Peh 2026 UGAA-selected readthrough hits	Small molecule TRID	Not disclosed in abstract; ~20,000-compound screen	EXACT CONTEXT MATCH - hits reported as effective 'particularly on UGAA and UAAG premature stop codons'; this proband's tetranucleotide is UGAA	Outperformed both gentamicin and ataluren in a Nagashima-type PPK screen	PMID 42034525; DOI 10.1016/j.jdermsci.2026.02.001 (J Dermatol Sci 122:78-85, 2026)	E6	Very early; compound identities not in abstract (full text paywalled)	Unknown	Unknown - uncharacterised	HIGHEST-YIELD ACTION - contact authors (Hokkaido/Tsukuba) for identities	Only chemistry ever deliberately optimised against this termination context
A05	A-restore	TLN468 (2-guanidino-quinazoline)	Small molecule TRID	Ribosome-targeting; strongly biases insertion toward one amino acid; does NOT read through normal termination codons	MODERATE - broad codon activity	More efficient than gentamicin across the 40 most common DMD PTCs; one of four compounds identified as jointly most effective in the 2026 TRID head-to-head. Karri 2024 is an amino-acid-identity study across four CFTR PTCs, not an organoid ranking	PMID 35994666 (PNAS 119:e2122004119); PMID 39098506 (J Cyst Fibros 23:1185); PMID 41917975	E6	Preclinical (I2BC/CEA Paris-Saclay)	Not established	Not characterised in vivo	SCREEN	Best safety property in class - no readthrough at natural stops
A06	A-restore	SRI-41315 (and SRI-37240)	Small molecule TRID	Reduces eRF1 abundance; prolonged ribosomal pause at stop codons; synergises with aminoglycosides	MODERATE - not codon-selective	From a large HTS campaign; one of four compounds identified as jointly most effective in the 2026 TRID head-to-head (abstract level)	PMID 34272367; DOI 10.1038/s41467-021-24575-x (Nat Commun 12:4358)	E6	Preclinical (Southern Research / UAB)	Not established	Global eRF1 depletion -> broad translational-fidelity effects	SCREEN	Candidate combination partner for DAP
A07	A-restore	NV848 (1,2,4-oxadiazole)	Small molecule TRID	Interferes with post-transcriptional tRNA modification (mechanism class shared with DAP)	MODERATE - codon preference not fully mapped	Restored full-length LRBA from R1683X in patient fibroblasts, outperforming ataluren; cleanest proteomic profile of its series; NV848 + ETI + NMDI14 enhanced CFTR in W1282X organoids	PMID 41541268 (Mol Ther Nucleic Acids 37:102808); PMID 41492359 (Genet Med Open 4:103472)	E5	Preclinical (Palermo)	Not established	Limited characterisation	SCREEN	Only published readthrough + NMD-inhibitor combination result in this class
A08	A-restore	NMDI14	NMD inhibitor	Disrupts the SMG7-UPF1 interaction; upregulates NMD targets at nanomolar concentrations	REQUIRED PARTNER - PTC is in exon 17/23 with 6 downstream junctions, a canonical NMD substrate	Combined with a readthrough drug, restored full-length p53; used successfully in combination by Perriera 2025	PMID 24662918; DOI 10.1158/0008-5472.CAN-13-2235 (Cancer Res 74:3104)	E6	Research reagent	Not established	POSSIBLE DOMINANT-NEGATIVE: stabilising the truncated protein (retains TPR, KEN, GLEBS, KARD; loses pseudokinase domain) may sequester Bub3/Cdc20. Must be tested alone with a functional readout	SCREEN - with mandatory NMD-alone safety arm	Novel hazard identified in this report
A09	A-restore	SMG1 inhibitor (SMG1i)	NMD inhibitor	Blocks the core NMD kinase SMG1 -> no UPF1 phosphorylation	REQUIRED PARTNER (see A08)	In Cftr G542X mouse primary cells synergised with G418, gentamicin and paromomycin - but NOT with amikacin, tobramycin, PTC124, escin or amlexanox	PMID 33396210; DOI 10.3390/ijms22010344 (IJMS 22:344)	E6	Research reagent; no SMG1 inhibitor found in any registered trial	Not established	Smg1 loss embryonic-lethal E8.5 in mice; depletion accumulates PTC variants from ~9% of genes (PMID 20566848). Chronic systemic NMD inhibition in a growing child is not benign	SCREEN - with mandatory NMD-alone safety arm	Synergy is partner-specific
A10	A-restore	Gentamicin (systemic IV)	Aminoglycoside TRID	Misreading at the ribosomal decoding site; inserts Trp/Arg/Cys at UGA	MODERATE - context-dependent; the tetranucleotide is the primary determinant	Only human proof of systemic readthrough: 7.5 mg/kg/d IV x14d in 3 RDEB adults, of whom TWO continued 7.5 mg/kg twice weekly x12wk; restored type VII collagen at the DEJ persisting >6 months; >85% closure of monitored wounds; no oto/nephrotoxicity or anti-C7 antibodies observed	PMID 38366625; DOI 10.1093/bjd/ljae063 (Br J Dermatol 191:267)	E2	Licensed antibiotic; readthrough use off-label; open-label n=3	Poor - polycationic	Cumulative and IRREVERSIBLE cochlear toxicity; nephrotoxicity. Different risk calculus in a child than in 3 adults over 14 weeks	PROOF-OF-MECHANISM ONLY - not a therapy recommendation	Positive control for the ex vivo panel; a positive result would validate the whole readthrough strategy for this allele
